,x,y
miami hip hop,3039,1058
circuit,651,1155
post-disco,4460,999
musica alagoana,8478,871
classic persian pop,11988,664
dansktop,9253,760
modern blues rock,8945,518
rebetiko,13107,896
swedish indie pop,6724,522
sonora indie,5738,449
jazz rock,11644,558
disney portugues,11681,713
harlem renaissance,15343,982
musica amapaense,6761,790
acoustic punk,9850,741
colombian electronic,1186,1095
african experimental,10927,553
british electroacoustic,13259,364
grimewave,2866,967
classical saxophone quartet,16276,511
fourth world,11959,368
indie deutschrap,8014,1069
latin funk,4882,965
philly soul,8687,774
psychedelic pop,8125,496
opm,9130,593
baton rouge indie,8749,473
nz indie,8274,473
charlotte nc indie,7753,447
nu-metalcore,3017,326
dark electro,1024,647
pop violin,11497,297
brazilian indie rock,8552,439
post-rock latinoamericano,9204,308
australian blues,10045,790
vlaamse cabaret,11889,1016
coptic hymn,13601,527
mevlevi sufi,14052,465
japanese disney,11852,524
military cadence,14184,1208
brazilian percussion,8700,1035
conscious hip hop,7133,1044
ragga jungle,1857,1077
indonesian ska,3891,898
drift,13875,124
yacht rock,8428,748
aggrotech,1046,574
bossa nova jazz,10651,882
concepcion indie,7198,465
texas punk,7679,353
slc indie,6415,461
arkansas country,12342,953
hong kong indie,7223,584
classic garage rock,9750,591
finnish folk,11828,529
grime,4932,974
puerto rican pop,6530,827
italian ska,3920,680
classic polish pop,11570,736
uwielbienie,11148,486
portuguese jazz,12581,738
vermont indie,11445,556
russian romanticism,16541,336
historical keyboard,15725,509
cancoes infantis,6113,1069
landler,11963,900
danish post-punk,6648,306
bemani,12686,160
tatar pop,4713,707
nz pop,6391,736
german post-punk,5090,409
mellow gold,10506,598
alternative roots rock,9253,469
seattle hip hop,6640,959
faroese pop,11223,574
auckland indie,6181,469
japanese alternative rock,4845,415
triangle indie,9786,441
aarhus indie,10033,465
maltese pop,3546,579
alternative pop,9551,405
scottish gaelic folk,12654,567
rock quebecois,7337,486
chanson paillarde,9838,1025
funk carioca,5503,1127
stl indie,8052,527
polish jazz,12642,644
jazz venezolano,11864,928
folk,12199,770
kikuyu pop,8125,1168
instrumental death metal,4918,226
chamber choir,16721,141
progressive metal,5395,255
french tech house,201,1416
british country,8224,574
power thrash,5445,271
traditional bluegrass,10320,803
cumbia uruguaya,8937,991
gothic symphonic metal,4650,247
brazilian thrash metal,8187,289
german grindcore,5726,224
russian metal,4758,273
cifteli,10233,781
russian hardcore,6684,302
salay,6889,876
skweee,2523,1095
new weird finland,12434,529
sound collage,11938,641
georgian alternative,6112,892
historic classical performance,16672,797
float house,1620,1136
german post-hardcore,2599,224
ukrainian choir,16981,86
psalmen,16034,54
nordic house,1931,847
piano blues,13767,920
musique touareg,11803,916
hip hop,5071,1075
taiwan pop,6231,601
chamber orchestra,15926,336
album rock,8834,480
medieval folk,9612,360
atmospheric post-metal,8920,235
classic opm,10754,574
rock nacional brasileiro,5589,699
swedish indie rock,6745,382
musica blumenauense,8015,660
south carolina hip hop,2919,1022
industrial hardcore,2246,551
metal salvadoreno,9365,401
deep brazilian pop,11791,863
nederlandse hardstyle,1734,830
dutch jazz,12704,733
cantautor,10131,741
rap ecuatoriano,5353,1082
rap nacional antigo,5987,1127
warrington indie,4696,455
afrobeat,9056,990
musica hondurena,8076,1060
south dakota indie,7460,417
mariachi cristiano,8739,788
baroque ensemble,15385,399
czech pop,9314,538
german blues,9366,832
vietnamese hip hop,7448,972
ontario indie,8502,501
latin viral pop,4297,817
japanese folk,11730,591
tijuana indie,8076,423
middle east hip hop,6543,930
rock pernambucano,7094,437
classic japanese jazz,12446,795
classic greek pop,12037,748
kolkata indie,7292,690
rhythm and blues,12288,836
north dakota indie,11248,499
baptist gospel,13611,368
kabarett,12752,1182
rock catala,8625,677
contemporary jazz,13557,723
tech trance,639,677
sitar,13139,616
early romantic era,16700,451
hula,14705,840
afro-cuban traditional,12033,1102
appenzeller folk,12098,507
vintage western,13303,1113
latin afrobeat,5625,967
melancholia,10964,480
cambridgeshire indie,10069,484
toronto indie,8113,453
neue deutsche harte,2283,463
italian hip hop,5847,970
